Município,UF,DESC Municipio
110001,RO,Alta Floresta D Oeste
110002,RO,Ariquemes
110003,RO,Cabixi
110004,RO,Cacoal
110005,RO,Cerejeiras
110006,RO,Colorado do Oeste
110007,RO,Corumbiara
110008,RO,Costa Marques
110009,RO,Espigao D Oeste
110010,RO,Guajara-Mirim
110011,RO,Jaru
110012,RO,Ji-Parana
110013,RO,Machadinho D Oeste
110014,RO,Nova Brasilandia D Oeste
110015,RO,Ouro Preto do Oeste
110018,RO,Pimenta Bueno
110020,RO,Porto Velho
110025,RO,Presidente Medici
110026,RO,Rio Crespo
110028,RO,Rolim de Moura
110029,RO,Santa Luzia D Oeste
110030,RO,Vilhena
110032,RO,Sao Miguel do Guapore
110033,RO,Nova Mamore
110034,RO,Alvorada D Oeste
110037,RO,Alto Alegre dos Parecis
110040,RO,Alto Paraiso
110045,RO,Buritis
110050,RO,Novo Horizonte do Oeste
110060,RO,Cacaulandia
110070,RO,Campo Novo de Rondonia
110080,RO,Candeias do Jamari
110090,RO,Castanheiras
110092,RO,Chupinguaia
110094,RO,Cujubim
110100,RO,Governador Jorge Teixeira
110110,RO,Itapua do Oeste
110120,RO,Ministro Andreazza
110130,RO,Mirante da Serra
110140,RO,Monte Negro
110143,RO,Nova Uniao
110145,RO,Parecis
110146,RO,Pimenteiras do Oeste
110147,RO,Primavera da Rondonia
110148,RO,Sao Felipe D Oeste
110149,RO,Sao Francisco do Guapore
110150,RO,Seringueiras
110155,RO,Teixeiropolis
110160,RO,Theobroma
110170,RO,Urupa
110175,RO,Vale do Anari
110180,RO,Vale do Paraiso
119999,RO,Ignorado
120001,AC,Acrelandia
120005,AC,Assis Brasil
120010,AC,Brasileia
120013,AC,Bujari
120017,AC,Capixaba
120020,AC,Cruzeiro do Sul
120025,AC,Epitaciolandia
120030,AC,Feijo
120032,AC,Jordao
120033,AC,Mancio Lima
120034,AC,Manoel Urbano
120035,AC,Marechal Thaumaturgo
120038,AC,Placido de Castro
120039,AC,Porto Walter
120040,AC,Rio Branco
120042,AC,Rodrigues Alves
120043,AC,Santa Rosa do Purus
120045,AC,Senador Guiomard
120050,AC,Sena Madureira
120060,AC,Tarauaca
120070,AC,Xapuri
120080,AC,Porto Acre
129999,AC,Ignorado
130002,AM,Alvaraes
130006,AM,Amatura
130008,AM,Anama
130010,AM,Anori
130014,AM,Apui
130020,AM,Atalaia do Norte
130030,AM,Autazes
130040,AM,Barcelos
130050,AM,Barreirinha
130060,AM,Benjamin Constant
130063,AM,Beruri
130068,AM,Boa Vista do Ramos
130070,AM,Boca do Acre
130080,AM,Borba
130083,AM,Caapiranga
130090,AM,Canutama
130100,AM,Carauari
130110,AM,Careiro
130115,AM,Careiro da Varzea
130120,AM,Coari
130130,AM,Codajas
130140,AM,Eirunepe
130150,AM,Envira
130160,AM,Fonte Boa
130165,AM,Guajara
130170,AM,Humaita
130180,AM,Ipixuna
130185,AM,Iranduba
130190,AM,Itacoatiara
130195,AM,Itamarati
